"permit_issued_date","lon","lat","year"
2017-08-03,-74.110282,40.571617,2017
2017-08-03,-74.093935,40.572754,2017
2017-08-03,-74.093935,40.572754,2017
2017-08-03,-74.228898,40.522576,2017
2017-08-03,-74.093935,40.572754,2017
2017-08-03,-74.18096,40.522941,2017
2017-08-03,-74.18096,40.522941,2017
2017-08-03,-74.254032,40.50694,2017
2017-08-03,-74.069236,40.587785,2017
2017-08-03,-74.094813,40.574952,2017
2017-08-03,-74.094813,40.574952,2017
2017-08-03,-74.138796,40.546594,2017
2017-08-03,-74.094892,40.574996,2017
2017-08-03,-74.094971,40.575039,2017
2017-08-03,-74.135834,40.565787,2017
2017-08-03,-74.1081,40.642111,2017
2017-08-03,-74.1081,40.642111,2017
2017-08-03,-74.108085,40.642028,2017
2017-08-03,-74.108067,40.641946,2017
2017-08-03,-74.108067,40.641946,2017
2017-08-04,-74.100755,40.562307,2017
2017-08-04,-74.094917,40.595455,2017
2017-08-04,-74.134465,40.580964,2017
2017-08-04,-74.134465,40.580964,2017
2017-08-04,-74.094917,40.595455,2017
2017-08-04,-74.243396,40.511352,2017
2017-08-04,-74.221625,40.52254,2017
2017-08-04,-74.166299,40.632701,2017
2017-08-04,-74.136264,40.628327,2017
2017-08-04,-74.094852,40.574974,2017
2017-08-04,-74.138306,40.610568,2017
2017-08-07,-74.203158,40.536269,2017
2017-08-07,-74.203017,40.53631,2017
2017-08-07,-74.129973,40.603949,2017
2017-08-07,-74.181729,40.548942,2017
2017-08-07,-74.124792,40.635366,2017
2017-08-07,-74.10498,40.578217,2017
2017-08-04,-74.221636,40.522433,2017
2017-08-04,-74.071206,40.612446,2017
2017-08-04,-74.136264,40.628327,2017
2017-08-17,-74.124674,40.573877,2017
2017-08-07,-74.141291,40.595056,2017
2017-09-06,-74.206762,40.540687,2017
2017-08-07,-74.10508,40.57811,2017
2017-08-07,-74.069,40.610529,2017
2017-08-08,-74.136776,40.616345,2017
2017-08-08,-74.105472,40.561924,2017
